Source,NEW FORMAT,Linear A
HT112a,TU-PA,tp
HT113,RA-RI-WA,rrw
HT113,WI-SA,ws
HT114a,KI-RI-TA,krt
HT114a,SA-RA,sr
HT115a,RI-TA-MA-PU-WI,rtmpw
HT115a,SE-KU-TU,skt
HT115a,PA-RA-NE,prn
HT115a,A-SE-JA,asj
HT115a,A-SE-YA,asy
HT115a,KA-PO-RU,kpr
HT115b,PA-RA-NE,prn
HT115b,TI-NU-JA,tnj
HT115b,TI-NU-YA,tny
HT115b,NU-WI,nw
HT115b,KU-RU-MA,krm
HT115b,RA-TU-JA,rtj
HT115b,RA-TU-YA,rty
HT115b,KU-TA,kt
HT116a,U-TA-RO,utr
HT116a,KU-PA-JA,kpj
HT116a,KU-PA-YA,kpy
HT116a,PU-RA,pr
HT116a,SI-KI-NE,skn
HT116a,QA-NU-MA,qnm
HT116b,KU-RO,kr
HT117a,MA-KA-RI-TE,mkrt
HT117a,KI-RO,kr
HT117a,U-MI-NA-SI,umns
HT117a,U-SU,us
HT117a,MI-TU,mt
HT117a,KU-RA-QI,krq
HT117a,MA-RU,mr
HT117a,KU-RA-NU,krn
HT117a,TU-JU-MA,tjm
HT117a,TU-YU-MA,tym
HT117a,U-DI-MI,udm
HT117a,MI-RU-TA-RA-RE,mrtrr
HT117a,TE-JA-RE,tjr
HT117a,TE-YA-RE,tyr
HT117a,NA-DA-RE,ndr
HT117a,KU-RO,kr
HT117a,KU-KU-DA-RA,kkdr
HT117a,KO-SA-I-TI,ksit
HT117a,DA-MI-NU,dmn
HT117a,DA-NE-KU-TI,dnkt
HT117a,KI-DA-RO,kdr
HT117b,KU-RE-JU,krj
HT117b,KU-RE-YU,kry
HT117b,DI-KI-SE,dks
HT118,I-MA-DI,imd
HT118,QA-QA-RU,qqr
HT118,KU-RO,kr
HT119,RI-MI-SI,rms
HT119,KO-JA,kj
HT119,KU-RO,kr
HT120,DA-QE-RA,dqr
HT120,PA-I-TO,pit
HT121,KI-RI-TA,krt
HT122a,RA-RI,rr
HT122a,U-DE-ZA,udz
HT122a,DA-SI,ds
HT122a,DI-I-TE-KI,ditk
HT122a,JA-MI-DA-RE,jmdr
HT122a,YA-MI-DA-RE,ymdr
HT122a,SI-DA-RE,sdr
HT122a,NU-DI-RA,ndr
HT122a,PA-DE,pd
HT122a,PA-TA-NE,ptn
HT122a,KU-RO,kr
HT122a,KU-DA,kd
HT122b,JE-DI,jd
HT122b,YE-DI,yd
HT122b,QA-QA-RU,qqr
HT122b,DA-RE,dr
HT122b,KU-RO,kr
HT122b,PO-TO-KU-RO,ptkr
HT123a,KI-TA-I,kti
HT123a,KI-RO,kr
HT123a,KI-RO,kr
HT123a,KI-RO,kr
HT123a,KI-RO,kr
HT123a,KU-RO,kr
HT123a,KI-RO,kr
HT123b,TI-DA-TA,tdt
HT123b,PI-SA,ps
HT123b,TU-PA-DI-DA,tpdd
HT123b,KU-RO,kr
HT123b,KI-RO,kr
HT126a,DA-NA-SI,dns
HT126a,SI-DI-JA,sdj
HT126a,SI-DI-YA,sdy
HT127a,DU-NE-MI,dnm
HT127b,KU-RO,kr
HT127b,KU-RO,kr
HT128a,PA-RA,pr
HT128a,TU-RU-NU-I,trni
HT128a,MA-RI,mr
HT130,KU-RO,kr
HT130,SI-QA,sq
HT130,I-QA,iq
HT131b,PO-TO-KU-RO,ptkr
HT132,A-SE,as
HT132,QA-RE-TO,qrt
HT135a,NE-MI-NA,nmn
HT135a,MI-TU,mt
HT135a,MI-KA,mk
HT135b,TA-NE,tn
HT140,JE-DI,jd
HT140,YE-DI,yd
HT140,KA-PA,kp
HT141,A-RI,ar
HT141,RU-DI,rd
HT146,RI-KA-TA,rkt
HT154a,TU-ME-PA-JA,tmpj
HT154a,TU-ME-PA-YA,tmpy
HT154Ja,NU-RE,nr
HT154Ja,NU-I,ni
HT154Ja,NU-TE,nt
KE1,KA-SA,ks
KN1a,JA-KU-TI-E,jkte
KN1a,YA-KU-TI-E,ykte
KN1b,JA-DU-RA-TI-E,jdrte
KN1b,YA-DU-RA-TI-E,ydrte
KN2,RU-NA,rn
KN22c,MA-SU-MI,msm
MA1a,JE-I-DU-WI,jidw
MA1a,YE-I-DU-WI,yidw
